progress,days_left,team_size,budget_used,task_complexity,risk
50,22,3,63,1,1
29,10,6,73,1,1
50,10,9,100,0,0
50,10,2,69,1,1
50,30,3,35,1,1
76,10,7,64,2,0
50,26,9,40,1,0
3,13,3,87,1,1
47,10,3,41,2,1
86,27,3,70,2,1
59,9,3,42,1,1
50,-1,3,82,0,2
84,10,3,60,2,1
50,28,4,65,2,0
7,-1,6,66,1,2
50,10,10,51,1,0
45,10,3,75,0,1
50,10,3,42,2,1
83,10,3,85,1,1
2,13,10,35,2,1
50,10,6,92,2,1
50,14,7,97,1,1
50,14,3,20,2,1
6,10,2,81,1,1
12,10,7,82,0,0
40,10,3,22,2,1
18,2,7,80,1,2
50,-2,6,79,2,2
32,-2,8,88,0,2
50,6,3,55,2,1
69,10,3,36,1,0
70,10,2,42,1,0
50,25,3,57,0,0
50,10,3,69,1,1
50,18,9,88,0,0
50,10,3,61,2,1
73,23,3,20,0,0
22,10,3,97,2,2
50,11,3,46,2,1
50,10,4,94,1,1
80,10,2,97,2,2
58,17,3,53,2,1
50,10,3,69,0,0
50,10,1,90,1,1
73,29,3,77,0,0
1,-1,4,24,1,2
67,10,10,49,1,0
52,10,3,33,2,1
16,10,10,50,1,0
50,29,9,39,1,0
50,16,2,59,2,1
37,10,8,95,0,0
50,26,3,62,1,1
71,10,2,30,2,1
50,17,3,56,0,0
58,10,3,60,1,1
57,10,2,92,2,2
50,10,8,42,1,0
4,10,2,29,0,1
50,17,10,91,2,1
55,10,3,62,0,0
50,10,10,71,0,0
50,10,2,94,1,1
2,-3,3,22,2,2
64,13,3,42,1,0
50,10,1,88,2,2
15,10,10,28,1,0
50,10,2,95,0,1
44,29,3,38,1,1
50,10,10,30,2,0
50,10,3,67,2,1
84,5,3,76,1,1
50,14,5,60,0,0
50,10,3,35,0,1
67,-4,3,33,2,2
50,-1,3,61,0,2
50,10,3,92,2,2
50,10,7,42,0,0
97,10,3,36,2,1
72,10,10,72,1,0
2,10,3,36,0,1
50,25,3,70,1,2
50,10,3,53,1,1
33,13,3,30,0,0
26,21,3,58,2,1
50,0,10,78,1,1
70,10,7,62,1,0
21,10,3,84,0,1
50,10,3,36,2,1
29,21,3,73,1,1
50,10,2,74,1,1
50,10,1,22,1,1
4,10,3,51,1,1
50,10,3,95,0,1
50,10,8,94,0,0
50,10,9,61,0,0
52,10,1,66,0,0
50,-3,3,59,0,2
100,22,3,65,1,0
50,10,8,98,1,1
50,10,3,94,1,1
50,10,4,58,0,0
25,10,5,82,1,1
50,10,3,76,1,1
50,22,7,60,0,0
50,10,3,21,2,1
50,10,9,62,0,0
1,10,3,52,0,1
50,-5,5,66,0,2
50,10,3,60,1,1
82,10,3,95,2,1
68,10,8,54,2,0
9,10,10,93,1,1
50,15,3,37,2,1
50,-1,3,56,1,2
45,28,3,58,1,1
50,10,3,100,0,1
50,10,9,48,2,0
50,10,3,76,0,1
59,-4,3,82,1,2
61,18,5,71,0,0
56,9,3,36,1,1
50,10,3,39,2,1
86,15,3,39,2,1
50,10,3,22,2,1
50,25,3,28,2,2
50,10,3,33,2,1
37,10,3,80,2,1
50,22,3,57,1,1
50,10,3,89,1,1
19,-5,4,40,0,2
29,10,3,84,0,1
26,11,8,44,0,0
20,10,7,63,1,0
77,-5,3,68,0,1
50,29,1,60,2,1
50,10,4,70,0,0
2,10,1,45,0,1
19,29,3,49,1,1
50,9,1,42,2,2
73,28,6,67,1,0
95,30,3,85,1,1
50,10,4,85,1,0
0,30,9,64,2,1
23,30,3,70,0,2
50,10,9,81,0,0
79,10,3,84,2,1
50,-3,3,49,0,2
47,11,4,98,0,0
72,10,3,80,2,1
50,10,2,46,0,0
65,20,3,48,0,0
76,30,10,58,2,1
50,10,3,71,0,1
50,-3,4,31,1,1
91,10,3,72,0,0
32,10,2,33,0,0
50,12,3,74,2,1
50,10,3,78,1,1
17,10,1,24,0,1
76,0,2,55,2,2
50,10,7,33,0,0
50,16,5,42,2,0
14,10,3,88,1,1
49,10,3,100,0,1
25,10,3,48,1,1
12,10,3,27,1,1
50,10,8,68,2,0
50,-2,3,71,0,2
66,21,3,42,2,1
50,30,2,69,1,1
84,-2,1,43,1,2
50,10,10,86,1,1
91,-5,3,23,1,2
50,12,4,45,1,0
50,10,3,52,2,1
75,10,3,23,0,0
14,19,1,73,0,1
50,10,4,21,1,0
88,3,3,31,2,1
50,11,3,24,0,0
56,10,7,74,1,0
50,19,10,85,1,0
50,10,3,23,1,2
50,5,5,94,0,1
53,10,3,80,0,1
50,8,9,45,0,0
36,2,3,53,1,1
50,10,3,26,0,0
53,-3,8,27,1,1
50,1,3,65,2,1
61,18,5,38,2,0
41,10,3,43,2,1
50,10,3,28,2,1
50,10,10,54,2,0
50,12,3,88,2,1
47,10,3,33,2,1
50,10,5,27,1,0
50,10,3,84,2,1
50,10,10,77,0,0
81,10,3,24,2,1
96,-5,2,79,0,2
50,-5,3,34,1,2
50,13,4,48,2,1
50,10,3,39,1,1
93,10,6,43,0,0
62,10,3,97,2,1
50,10,3,48,1,1
50,26,1,28,2,1
72,-5,3,100,1,2
50,10,7,64,2,0
50,10,1,62,1,1
50,13,5,97,1,1
57,10,3,77,2,1
50,10,3,86,0,1
50,-2,3,71,2,2
50,-2,3,22,1,2
50,10,10,81,2,1
94,10,3,94,2,1
50,10,3,57,0,0
50,10,6,90,2,2
98,-2,3,28,1,2
50,0,3,79,0,1
50,10,3,29,1,1
50,4,5,61,1,1
50,10,3,87,0,1
93,10,3,35,1,0
50,10,3,23,2,1
32,23,3,37,1,1
50,-4,3,92,0,2
50,10,3,41,2,1
50,10,3,46,0,0
80,10,3,36,2,1
5,10,3,46,1,1
91,9,3,40,2,1
50,10,3,41,1,1
23,-5,3,87,0,2
50,10,3,83,0,1
27,10,10,48,2,1
50,10,2,52,1,1
50,-2,2,23,1,2
50,13,4,42,1,0
69,20,7,22,1,0
50,4,3,68,0,1
63,10,6,41,1,0
11,10,3,71,0,1
90,10,3,99,2,1
100,10,3,91,2,1
50,-4,8,97,2,2
50,10,3,95,1,1
50,10,2,58,2,1
13,14,3,46,2,1
94,10,1,56,0,0
50,10,10,39,0,0
41,10,3,26,0,0
78,10,3,47,2,1
48,10,9,30,1,0
50,10,3,37,1,1
50,27,3,55,2,1
50,10,3,38,2,1
0,10,1,54,2,2
37,7,2,66,0,1
41,27,3,39,2,1
60,10,3,53,2,1
81,26,6,90,0,0
50,10,5,35,0,0
10,10,3,54,0,1
50,22,3,97,0,1
83,10,3,85,0,0
50,-3,8,88,0,2
50,11,3,32,0,0
50,12,3,78,0,1
82,10,3,80,0,0
50,19,8,78,0,0
44,12,3,78,1,1
50,10,10,44,1,0
52,2,6,87,2,1
82,10,3,63,0,1
50,10,3,95,0,1
63,10,3,21,1,0
19,10,8,95,0,1
50,18,3,84,2,1
5,10,3,77,1,1
55,10,5,34,0,0
81,10,6,59,0,0
50,26,3,36,0,0
31,10,3,54,2,1
81,10,6,38,0,1
50,10,3,28,0,0
50,9,7,90,1,1
47,29,1,81,2,2
50,10,3,94,1,1
33,11,3,77,1,1
88,10,3,76,1,1
84,10,3,45,0,0
88,14,8,33,0,0
48,10,1,61,2,1
50,10,3,39,2,1
50,16,4,82,2,1
11,19,3,57,0,1
50,10,2,46,1,1
50,10,3,88,0,1
50,10,3,86,1,1
28,10,9,100,2,1
50,10,5,50,2,0
88,10,3,64,1,0
50,1,7,49,2,1
42,30,2,87,0,1
50,10,3,78,2,1
46,10,3,37,2,1
11,5,10,36,1,1
50,10,7,79,1,0
50,10,4,82,0,0
50,10,3,66,0,0
26,15,3,50,2,1
2,-5,3,70,2,2
50,22,6,81,1,0
50,9,5,94,1,1
34,-4,4,50,2,2
50,10,3,47,2,1
50,10,2,86,2,2
50,22,6,28,2,0
87,19,3,72,1,1
68,10,3,38,2,1
50,10,1,61,0,0
27,7,7,40,2,1
50,4,3,100,0,1
26,10,3,92,2,2
50,2,8,81,2,1
51,10,5,70,1,0
3,10,3,28,0,1
4,5,3,71,1,1
50,22,3,76,0,1
75,10,8,85,2,0
39,10,9,83,1,0
10,10,3,94,1,1
11,10,3,51,1,1
50,14,3,78,0,1
50,10,1,86,0,1
50,10,3,95,2,1
78,10,9,91,0,0
12,15,6,100,2,1
76,11,3,50,1,0
50,14,3,27,2,1
50,4,2,60,1,2
50,10,3,91,1,1
50,10,3,46,0,0
50,10,9,30,0,0
98,29,3,68,0,0
50,10,3,89,2,1
50,26,9,86,1,1
50,11,4,67,0,0
91,10,5,93,1,0
50,8,3,52,1,1
50,-2,3,91,1,2
50,-3,8,96,2,2
58,10,3,28,1,1
50,17,3,61,1,1
50,13,3,98,2,1
50,10,3,32,2,1
29,2,3,46,1,2
50,24,3,33,0,0
50,15,8,89,2,1
17,8,1,90,1,2
3,10,3,32,0,1
28,10,7,60,2,1
55,10,6,31,0,0
50,-5,3,91,1,2
62,10,3,94,1,1
50,10,3,75,1,1
50,10,3,51,2,1
50,10,3,21,0,1
50,10,3,77,2,1
13,12,3,32,0,1
50,17,7,95,1,1
41,10,3,73,0,1
95,10,8,67,1,0
59,10,5,34,0,0
50,10,3,98,1,1
50,10,3,31,1,1
61,10,3,48,1,1
67,7,5,100,0,0
24,18,4,67,1,0
50,9,3,48,0,1
75,10,2,72,1,1
24,10,3,76,0,1
38,10,3,20,1,1
22,29,8,52,2,1
50,12,3,64,0,0
50,23,8,38,2,0
50,10,6,26,2,0
48,10,3,52,2,1
50,4,3,95,0,1
50,10,3,48,2,1
80,15,3,38,2,1
100,10,6,91,0,0
63,26,6,20,2,0
50,8,3,57,1,1
50,10,6,52,2,1
39,4,3,40,1,1
50,10,3,82,2,1
50,13,3,54,2,1
50,24,3,21,1,1
50,25,1,26,2,1
22,20,3,77,2,1
50,30,3,47,2,1
50,10,3,81,0,1
50,10,3,88,2,1
50,10,3,93,1,1
100,22,3,58,2,1
50,10,3,55,0,0
1,14,4,64,0,0
50,10,3,24,0,0
50,22,3,69,1,1
50,30,2,53,2,1
34,10,3,46,1,1
50,10,3,62,0,0
50,18,4,98,0,0
63,0,3,58,2,1
50,10,3,39,1,1
50,10,7,98,2,1
41,1,3,92,2,2
50,30,9,51,2,0
53,10,3,72,2,1
50,10,3,40,1,1
50,-3,3,44,1,2
84,10,3,20,2,1
50,26,7,86,0,0
0,10,10,78,0,0
50,25,5,83,2,1
5,10,9,58,2,1
50,5,3,78,1,1
50,10,6,56,2,0
50,10,3,75,1,1
78,23,4,37,0,0
43,10,3,81,2,1
16,16,7,25,0,0
50,10,6,92,2,1
49,-5,3,62,1,2
50,2,8,61,1,1
50,7,6,70,1,0
50,16,6,99,1,1
100,10,9,68,2,0
50,-4,2,32,0,2
96,24,3,24,0,0
39,11,3,87,2,1
50,10,8,79,2,1
15,5,2,71,2,2
83,24,3,58,1,0
100,25,8,42,1,0
50,10,3,42,1,1
50,2,6,41,0,0
50,10,1,39,2,1
32,11,3,47,0,0
68,10,3,33,0,0
2,12,3,97,1,1
50,10,3,66,0,0
77,10,3,23,0,0
12,25,3,61,2,1
30,17,3,28,2,1
50,27,3,86,1,1
5,10,5,28,1,0
50,-5,3,23,1,2
50,8,10,87,1,1
50,29,8,67,0,0
61,18,10,88,2,1
46,23,3,28,0,0
50,10,7,60,1,0
48,10,3,50,0,0
50,21,4,76,2,1
50,10,3,95,2,1
60,10,3,79,1,1
50,10,2,51,1,1
50,12,3,82,2,1
80,11,5,77,1,0
36,-2,5,59,0,1
50,27,3,36,1,1
67,-5,7,43,0,1
15,10,3,27,1,1
93,10,3,36,2,1
50,10,3,94,2,1
19,10,2,92,0,1
35,-5,8,67,2,2
37,17,3,76,1,1
12,-2,3,27,2,2
50,10,8,91,2,1
12,4,3,87,2,2
94,-2,3,68,2,2
50,-3,3,67,0,2
50,10,3,66,2,1
50,10,3,59,2,1
99,10,9,82,0,0
55,0,9,66,2,1
31,10,9,84,1,0
50,10,10,32,1,0
66,10,3,81,2,2
50,15,3,83,0,1
50,30,3,97,1,1
50,15,3,45,0,0
10,-3,10,89,0,2
50,10,3,84,0,1
94,10,3,40,0,0
23,21,3,95,0,1
50,10,2,88,2,2
50,6,3,52,1,1
61,14,5,26,1,0
70,26,9,51,1,1
19,2,3,58,2,2
55,8,6,62,1,0
50,0,3,92,1,2
50,10,9,87,0,0
97,24,3,36,1,0
50,17,3,35,2,1
50,10,3,59,0,0
59,10,3,52,1,1
50,10,6,26,0,0
50,0,3,66,1,1
50,10,3,36,2,1
50,-3,4,38,2,2
50,9,6,32,0,0
50,10,3,60,1,1
50,2,3,68,1,1
7,16,9,94,0,1
3,10,3,83,0,1
50,10,10,77,1,0
94,10,4,36,0,0
50,10,3,50,0,0
58,10,6,90,0,0
50,10,3,29,2,2
50,10,7,94,0,0
25,10,3,24,2,1
50,-5,3,90,2,2
50,22,3,33,1,1
96,10,3,27,2,1
50,10,5,65,0,0
89,10,9,95,1,0
50,9,7,48,2,1
50,10,3,50,0,0
50,10,4,89,0,0
50,-4,5,21,0,2
98,10,1,43,0,0
56,12,9,54,0,0
50,25,10,36,0,0
50,-4,5,55,0,1
52,24,3,64,0,0
50,10,7,39,0,0
50,9,3,58,1,1
50,21,3,36,1,1
50,10,6,46,1,0
50,10,3,79,2,1
50,10,3,74,2,1
50,-2,3,40,1,2
50,14,3,47,2,1
50,10,3,85,0,1
50,10,3,30,2,1
11,-1,3,46,0,2
50,16,3,80,0,1
61,17,5,56,2,0
14,26,3,72,0,1
50,4,8,74,0,1
50,10,3,67,1,1
6,16,2,21,0,1
50,10,4,99,2,1
44,16,7,59,1,0
50,-3,6,94,1,2
50,22,2,42,2,2
6,0,3,21,1,2
50,10,10,91,0,0
50,-1,3,45,1,2
76,10,3,26,2,1
50,10,3,64,0,0
90,10,8,83,0,0
83,11,7,42,2,0
50,7,10,52,2,1
50,10,2,62,0,0
31,10,3,60,2,1
50,10,6,30,0,0
87,22,3,38,2,1
50,10,5,74,2,1
12,10,5,39,0,0
11,10,3,74,2,1
31,10,3,75,2,1
41,1,3,68,0,1
63,-2,4,86,2,2
29,10,2,65,1,1
62,10,8,43,0,0
68,19,3,57,2,2
54,10,5,35,1,0
32,6,3,20,0,1
31,10,3,30,0,0
50,14,3,48,2,1
50,18,3,98,1,1
4,18,6,51,1,0
50,-2,3,61,2,2
21,10,3,74,1,1
95,-2,8,84,0,1
50,10,3,29,2,1
50,10,8,62,1,0
50,10,5,62,2,0
70,10,1,24,1,0
15,10,3,88,2,2
20,0,3,74,0,2
14,1,1,34,1,2
91,24,3,84,1,1
24,17,3,22,2,1
38,10,3,60,2,1
50,3,3,76,2,2
50,10,4,73,1,0
25,10,5,20,2,1
59,10,6,60,0,0
89,10,9,100,2,1
75,10,3,72,1,1
50,2,3,93,2,2
50,10,3,32,2,1
50,9,8,82,2,1
50,10,3,62,1,1
50,-2,3,89,2,2
2,8,3,35,0,1
72,21,3,83,2,1
86,27,2,94,2,2
95,10,1,26,0,0
50,10,10,36,1,0
31,10,4,62,2,0
50,10,5,30,1,0
50,25,3,51,0,0
6,6,1,44,2,2
50,10,3,92,2,1
50,10,2,50,2,1
47,18,3,77,0,1
50,10,3,56,0,0
99,10,1,70,1,0
30,10,8,35,2,0
50,10,5,89,0,0
26,10,3,97,2,2
80,10,1,50,2,1
98,10,3,78,0,0
3,27,9,57,0,0
82,27,3,47,1,0
50,10,3,27,2,1
50,3,3,41,2,1
50,10,7,25,0,0
50,8,3,64,2,1
50,9,3,92,0,1
50,25,5,38,0,0
50,10,3,49,1,1
50,10,5,44,0,0
8,26,6,31,1,0
40,10,2,55,2,1
50,13,3,20,1,1
50,22,3,41,0,0
50,10,3,40,1,1
50,30,3,94,2,1
50,16,3,77,2,2
11,-1,5,21,2,2
50,10,3,96,1,1
53,-2,3,89,0,2
70,10,2,92,0,1
88,10,3,94,0,1
34,10,7,78,1,0
50,18,3,49,2,1
50,10,3,91,0,1
84,-4,1,33,0,1
62,15,3,99,0,1
50,19,3,30,0,0
50,7,3,28,0,2
50,10,3,67,0,0
25,10,3,79,0,1
23,10,4,58,2,1
43,12,3,39,1,1
86,10,3,98,0,1
50,1,3,95,0,1
54,7,7,88,2,1
50,10,3,52,1,1
50,-2,4,92,0,2
50,-1,3,73,2,2
50,10,3,98,2,1
50,28,10,100,0,0
50,29,3,59,2,1
50,15,9,45,2,0
3,10,3,22,2,1
50,10,3,94,0,1
50,10,3,31,0,0
88,10,2,45,1,0
64,10,4,94,1,0
50,10,3,39,2,1
68,29,1,84,1,1
50,10,1,58,0,0
73,10,3,76,1,1
32,11,4,75,1,0
50,10,5,92,0,0
50,10,3,58,2,2
50,27,9,78,1,0
50,15,3,51,0,0
84,10,4,61,2,0
33,10,3,75,1,1
66,10,1,51,2,1
50,27,2,20,0,0
33,10,3,83,1,1
34,10,3,97,1,1
54,10,1,59,0,0
71,26,1,83,0,1
21,26,3,71,1,1
13,8,3,95,2,2
50,10,9,99,1,1
50,10,3,70,0,0
97,12,3,21,0,0
61,18,10,78,2,0
50,9,3,58,2,1
61,10,7,83,2,0
50,10,3,25,1,1
50,10,10,78,1,0
50,10,3,28,1,1
50,10,5,91,1,1
50,16,3,87,1,1
50,10,3,22,0,0
32,7,2,75,1,1
50,10,3,21,1,1
50,10,1,38,1,1
53,10,3,32,0,0
88,10,10,98,1,0
50,10,3,48,0,0
52,10,3,44,2,1
50,19,3,75,0,1
50,21,3,96,1,1
94,26,3,67,2,1
50,11,5,98,0,0
28,10,3,91,1,1
50,-2,3,26,0,2
50,15,3,79,0,1
50,10,3,29,0,0
50,-2,3,69,0,2
27,10,1,30,2,2
50,10,3,51,2,1
50,22,3,78,2,1
50,17,2,97,1,1
22,10,3,88,2,2
50,-4,1,82,0,2
86,10,3,29,1,0
50,10,3,66,0,0
50,2,3,51,0,1
15,10,3,63,1,1
50,3,4,95,0,1
39,15,4,86,2,1
50,10,3,60,1,1
50,10,4,67,1,0
6,17,3,70,1,1
50,10,6,73,1,0
89,19,3,83,1,1
50,10,3,62,2,1
79,10,3,35,1,0
50,10,3,33,0,0
50,10,1,94,1,1
50,20,3,79,2,1
15,0,3,88,0,2
50,2,7,28,2,1
50,10,8,30,2,0
48,10,3,99,0,1
68,12,1,58,1,0
22,4,7,79,0,2
40,10,3,100,0,1
50,21,3,81,1,1
23,10,3,54,2,1
9,10,4,38,1,0
50,13,6,94,2,1
50,10,3,43,1,1
25,6,3,35,1,1
31,10,4,47,0,0
50,10,6,35,1,0
59,13,3,92,0,1
72,10,3,24,0,0
50,10,9,36,2,0
74,-3,4,63,2,2
50,10,3,57,0,0
50,-3,3,69,2,2
50,10,3,79,0,1
50,10,3,82,2,1
78,11,4,35,1,1
34,14,8,36,0,0
91,-2,3,95,1,2
50,-4,7,29,1,1
31,-5,3,23,1,2
50,27,3,24,1,1
50,13,5,80,2,1
50,10,8,98,1,1
50,10,4,97,2,1
50,10,9,64,2,0
17,10,3,62,1,1
93,10,6,48,2,0
86,10,8,43,1,0
86,16,7,56,2,0
22,10,3,69,1,1
28,10,3,55,1,1
50,10,3,28,2,1
72,10,3,56,0,0
50,4,3,45,1,1
50,10,3,42,0,0
59,10,8,87,1,1
50,10,7,40,0,0
50,10,8,45,2,0
4,-4,8,51,1,2
94,21,3,99,1,1
50,19,8,47,2,0
50,10,3,60,2,1
50,10,3,95,1,1
50,30,8,26,1,1
50,10,3,75,0,1
50,10,4,80,0,0
89,10,7,94,0,0
84,10,3,80,1,1
50,10,9,28,0,1
50,10,3,68,0,0
50,10,3,72,1,1
50,10,3,55,2,1
50,10,3,97,2,1
86,10,3,49,2,1
59,7,9,90,2,1
67,10,3,90,1,1
50,10,3,33,2,1
50,3,7,50,0,0
47,10,3,39,1,1
50,10,3,94,0,1
50,3,2,81,2,2
50,-4,3,29,2,2
50,12,4,35,0,0
